duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
6695,icmp,domain_u,S0,44,22732,1,0,3,5,4,0,4,1,1,9,3,0,5,0,1,0,276,133,0.69,0.48,0.48,0.39,0.09,0.93,0.94,163,16,0.27,0.9,0.86,0.9,0.76,0.71,0.11,0.2,warezclient
8829,icmp,ftp,SH,11509,61211,0,3,2,1,0,0,1,0,0,5,3,2,0,0,0,1,354,1,0.14,0.3,0.98,0.22,0.14,0.16,0.88,33,110,0.39,0.21,0.84,0.34,0.52,0.06,0.99,0.01,back
1287,icmp,eco_i,SF,12253,3477,0,0,0,16,1,0,3,0,1,4,1,3,4,0,1,1,0,350,0.03,0.26,1.0,0.26,0.18,0.95,0.94,18,254,0.9,0.31,0.94,0.75,0.0,0.94,0.48,0.76,neptune
9955,tcp,domain_u,S0,35364,25184,0,1,0,5,3,1,5,0,0,6,5,2,4,0,0,0,93,437,0.83,0.16,0.36,0.19,0.08,0.84,0.66,238,216,0.76,0.33,0.47,0.68,0.26,0.61,0.2,0.96,warezclient
9711,icmp,smtp,RSTR,66777,56658,1,3,0,18,2,1,0,1,1,3,4,5,3,0,0,0,302,128,0.69,0.97,0.06,0.72,0.11,0.67,0.23,234,174,0.84,0.44,0.01,0.81,0.4,0.63,0.97,0.9,satan
399,tcp,http,RSTR,30069,24339,1,1,3,14,1,0,2,0,1,0,1,2,5,0,0,1,231,421,0.33,0.75,0.65,0.43,0.79,0.61,0.52,101,138,0.62,0.37,0.89,0.31,0.09,0.81,0.43,0.18,back
3213,tcp,smtp,SF,87362,14120,1,0,3,19,3,1,0,0,1,1,0,5,0,0,1,1,182,451,0.71,0.53,0.72,0.72,0.62,0.08,0.35,217,149,0.75,0.63,0.5,0.06,0.26,0.07,0.35,0.91,neptune
5645,icmp,ftp,SH,58636,83019,0,2,2,8,2,0,4,1,1,5,1,1,4,0,1,1,467,382,0.27,0.18,0.18,0.02,0.08,0.24,0.9,62,86,0.87,0.32,0.72,0.93,0.74,0.85,0.24,0.2,normal
7503,tcp,http,SF,11766,52978,1,3,2,20,3,1,8,0,1,1,5,4,5,0,0,0,184,337,0.49,0.03,0.77,0.5,0.06,0.75,0.05,180,64,0.29,0.15,0.14,0.66,0.15,0.84,0.31,0.59,nmap
301,icmp,smtp,SH,11892,79513,1,2,0,19,0,0,0,1,0,10,5,4,5,0,1,1,166,150,0.93,0.39,0.98,0.82,0.61,0.96,0.92,10,103,0.24,0.64,0.39,0.7,0.44,0.27,1.0,0.24,teardrop
2625,tcp,eco_i,SF,14766,38270,0,1,1,18,3,0,10,0,1,7,5,0,4,0,1,0,314,440,0.26,0.81,0.54,0.78,0.04,0.61,0.16,157,154,0.48,0.54,0.61,0.8,0.7,0.18,0.77,0.85,warezclient
2378,udp,private,REJ,44187,82509,0,0,2,20,2,1,8,0,0,6,5,5,3,0,0,1,159,226,0.16,0.47,0.4,0.59,0.19,0.98,0.25,42,225,0.8,0.41,0.74,0.16,0.48,0.13,0.81,0.14,nmap
3791,udp,smtp,SF,94702,78481,0,2,0,16,2,0,2,0,0,10,2,3,5,0,1,1,330,72,0.2,0.29,0.54,0.18,0.61,0.01,0.62,213,125,0.22,0.09,0.09,0.45,0.84,0.2,0.14,0.45,back
2376,udp,eco_i,REJ,58031,12932,1,0,2,7,3,1,6,0,0,10,3,5,1,0,1,0,315,256,0.07,0.65,0.65,0.6,0.96,0.06,0.42,29,14,0.32,0.28,0.54,0.17,0.82,0.2,0.93,0.36,normal
1430,tcp,eco_i,REJ,20971,70613,1,2,3,14,3,1,5,0,0,6,0,0,3,0,0,1,356,457,0.53,0.37,0.67,0.61,0.43,0.23,0.93,100,232,0.13,0.25,0.74,0.78,0.49,0.75,0.83,0.77,smurf
7239,udp,eco_i,SH,93616,29960,1,2,1,15,0,1,6,0,0,9,2,3,1,0,1,1,483,159,0.12,0.2,0.28,0.31,0.93,0.46,0.07,102,168,0.64,0.08,0.92,0.14,0.57,0.38,0.18,0.46,nmap
9080,icmp,eco_i,S0,86751,63557,0,1,0,5,4,0,7,0,1,1,4,4,5,0,0,1,278,227,0.86,0.98,0.12,0.65,0.99,0.68,0.83,167,173,0.96,0.62,0.13,0.49,0.64,0.29,0.17,0.44,satan
2030,udp,smtp,RSTR,59712,8544,1,1,3,5,0,0,4,0,0,9,4,2,5,0,0,1,55,186,0.89,0.99,0.09,0.79,0.04,0.19,0.53,114,145,0.49,0.75,0.83,0.79,0.18,0.32,0.75,0.09,smurf
427,icmp,ftp,SF,23345,21732,1,2,0,15,0,1,2,0,1,5,0,4,3,0,1,1,503,492,0.86,0.76,0.51,0.18,0.62,0.35,0.24,209,98,0.46,0.83,0.49,0.99,0.83,0.64,0.75,0.05,nmap
9500,icmp,private,REJ,84497,30699,0,0,0,6,3,1,6,1,1,5,1,5,3,0,0,0,108,110,0.93,0.19,0.05,0.23,0.77,0.33,0.85,32,126,0.21,0.94,0.01,0.42,0.88,0.01,0.85,0.67,back
6278,udp,ftp,REJ,42163,79085,1,0,3,8,4,0,4,0,1,3,0,3,1,0,1,1,182,135,0.05,0.07,0.92,0.45,0.45,0.8,0.5,103,102,0.98,0.14,0.31,0.81,0.33,0.15,0.16,0.22,smurf
7533,udp,eco_i,S0,41317,56604,0,3,2,12,3,1,10,1,1,0,2,0,4,0,0,1,55,153,0.55,0.03,0.0,0.87,0.0,0.59,0.83,184,232,0.16,0.27,0.88,0.21,0.73,0.98,0.48,0.37,warezclient
9662,icmp,eco_i,SH,40782,71368,0,0,0,13,5,0,10,1,1,4,3,3,0,0,1,0,308,1,0.03,0.46,0.43,0.03,0.9,0.92,0.37,186,71,0.57,0.56,0.16,0.74,0.04,0.75,0.47,0.01,ipsweep
956,tcp,http,SF,65280,15542,1,0,2,17,4,1,8,0,1,1,3,2,0,0,1,1,111,363,0.95,0.9,0.8,0.51,0.0,0.74,0.23,103,56,0.57,0.92,0.66,0.78,0.35,0.59,0.37,0.85,neptune
7880,udp,eco_i,REJ,40562,30389,0,3,1,4,0,1,5,0,0,7,0,3,5,0,1,0,103,262,0.57,0.45,0.71,0.02,0.95,0.54,0.41,248,48,0.48,0.04,0.7,0.25,0.56,0.58,0.56,0.48,warezclient
2471,tcp,private,S0,85053,46489,0,1,1,14,4,0,6,1,1,4,0,2,0,0,0,1,129,156,0.73,0.27,0.87,0.84,0.63,0.71,0.26,228,245,0.21,0.1,0.37,0.83,0.36,0.49,0.3,0.09,warezclient
7644,udp,private,RSTR,53569,976,1,3,0,3,3,1,3,1,1,5,1,0,5,0,1,0,465,320,0.18,0.19,0.96,0.57,0.06,0.04,0.7,156,34,0.85,0.68,0.97,0.43,0.84,0.33,0.56,0.22,nmap
2855,tcp,private,RSTR,17723,87840,1,0,1,17,4,0,3,1,1,6,2,5,3,0,1,1,117,495,0.01,0.41,0.22,0.71,0.69,0.06,0.28,98,243,0.73,0.39,0.86,0.06,0.29,0.04,0.67,0.29,normal
6290,udp,domain_u,SF,36249,84550,1,1,3,19,0,0,9,1,0,2,2,5,0,0,0,0,198,475,0.64,0.52,0.39,0.19,0.87,0.53,0.36,57,67,0.58,0.96,0.16,0.91,0.8,0.26,0.54,0.62,ipsweep
9930,udp,private,S0,31529,14958,1,1,3,17,5,1,4,0,1,3,0,3,4,0,1,0,113,284,0.37,0.14,0.27,0.13,0.8,0.97,0.69,148,231,0.03,0.5,0.28,0.84,0.45,0.62,0.53,0.52,back
8337,icmp,http,RSTR,79627,3719,1,0,1,6,2,1,9,0,0,1,1,4,2,0,0,1,414,168,0.96,0.34,0.77,0.41,0.09,0.96,0.04,73,189,0.8,0.28,0.07,0.97,0.74,0.2,0.63,0.62,back
4678,udp,private,SF,79154,34465,1,2,2,18,3,1,6,0,1,5,4,2,2,0,1,0,327,181,0.41,0.7,0.96,0.98,0.09,0.23,0.12,5,121,0.12,0.74,0.92,0.16,0.55,0.27,0.64,0.65,ipsweep
6797,icmp,http,S0,61467,26155,0,2,1,16,2,1,5,0,1,8,2,2,5,0,1,0,79,383,0.85,0.61,0.75,0.21,0.01,0.78,0.62,39,148,0.87,0.35,0.19,0.55,0.71,0.05,0.66,0.07,back
305,tcp,smtp,S0,66809,60741,1,1,1,15,0,0,7,1,0,7,1,0,3,0,1,0,262,37,0.65,0.59,0.4,0.31,0.81,0.53,0.59,85,137,0.29,0.48,0.33,0.12,0.82,0.73,0.02,0.67,warezclient
9915,tcp,domain_u,REJ,42278,47003,0,1,2,4,0,1,0,1,1,7,2,3,0,0,1,0,330,365,0.44,0.87,0.88,0.35,0.62,0.75,0.34,2,207,0.85,0.71,0.16,0.3,0.13,0.68,0.11,0.27,ipsweep
9588,tcp,eco_i,SF,42213,41368,1,3,0,15,0,1,5,1,0,7,5,0,4,0,1,1,235,446,0.69,0.15,0.96,0.68,0.23,0.63,0.09,204,156,0.45,0.28,0.94,0.0,0.93,0.52,0.9,0.43,ipsweep
3482,tcp,smtp,REJ,84667,52697,0,3,2,7,1,1,7,1,0,8,2,0,0,0,1,1,14,182,0.15,0.23,0.64,0.49,0.71,0.32,0.47,153,37,0.47,0.79,0.4,0.29,0.22,0.64,0.04,0.15,back
6431,tcp,http,RSTR,12543,35542,1,1,3,3,5,1,0,0,0,1,5,0,1,0,0,0,192,10,0.42,0.2,0.71,0.05,0.45,0.97,0.71,245,12,0.74,0.34,0.65,0.9,0.6,0.31,0.14,0.25,smurf
3037,udp,http,RSTR,61033,53255,1,3,3,19,1,1,2,0,0,4,0,0,4,0,1,1,388,142,0.7,0.81,0.37,0.29,0.98,0.42,0.13,14,241,0.56,0.01,0.46,0.49,0.63,0.81,0.21,0.4,satan
9351,tcp,private,SH,40006,9273,1,1,0,14,5,0,5,0,0,2,5,1,2,0,1,1,75,485,0.72,0.62,0.13,0.35,0.24,0.92,0.29,133,104,0.4,0.41,0.97,0.41,0.07,0.67,0.48,0.5,nmap
4732,udp,smtp,SH,42499,66398,0,2,2,11,1,0,2,0,0,10,2,5,1,0,1,1,81,423,0.76,0.74,0.95,0.16,0.06,0.31,0.75,209,203,0.82,0.44,0.38,0.94,0.04,0.32,0.82,0.29,nmap
8660,tcp,eco_i,REJ,23677,72821,0,0,2,0,1,0,8,0,0,2,4,1,0,0,1,1,424,359,0.81,0.24,0.83,0.49,0.42,0.85,0.64,40,71,0.79,0.88,0.08,0.29,0.15,0.2,0.83,0.16,normal
4851,udp,http,S0,14517,10101,0,2,1,20,0,1,6,0,0,8,3,0,1,0,1,1,433,343,0.98,0.69,0.12,0.07,0.81,0.12,0.94,59,219,0.53,0.61,0.08,0.08,0.55,0.11,0.86,0.42,warezclient
5946,icmp,http,S0,96342,30138,0,3,3,13,5,1,5,1,1,1,4,3,1,0,1,0,267,59,0.82,0.21,0.2,0.14,0.13,0.97,0.68,244,79,0.82,0.58,0.31,0.9,0.62,0.18,0.68,0.8,neptune
6412,tcp,smtp,SH,75208,19415,0,3,2,0,5,0,4,1,1,5,3,4,0,0,0,1,233,163,1.0,0.41,0.39,0.91,0.65,0.69,0.58,175,105,0.41,0.06,0.58,0.98,0.51,0.62,0.67,0.51,portsweep
7834,tcp,ftp,REJ,66319,9024,0,1,1,3,3,0,10,0,1,6,0,5,1,0,1,1,402,257,0.95,0.32,0.45,0.45,0.4,0.36,0.68,122,9,0.1,0.89,0.14,0.44,0.24,0.08,0.79,0.2,portsweep
6302,udp,http,SF,36993,16237,1,0,0,5,2,0,4,0,0,6,1,3,2,0,1,0,481,237,0.51,0.35,0.58,0.78,0.73,0.63,0.34,5,142,0.97,0.7,0.59,0.97,0.1,0.41,0.52,0.59,neptune
3636,icmp,smtp,SH,48252,18597,0,0,3,15,1,1,7,0,0,6,0,2,5,0,0,0,493,237,0.4,0.42,0.25,0.85,0.85,0.6,0.48,116,244,0.67,0.55,0.38,0.42,0.57,0.66,0.28,0.05,portsweep
3874,icmp,domain_u,SF,5387,86560,0,0,1,19,5,1,0,1,0,6,0,1,0,0,0,1,275,188,0.56,0.85,0.82,0.49,0.76,0.24,0.7,196,168,0.13,0.39,0.85,0.11,0.06,0.76,0.36,0.04,neptune
2416,tcp,smtp,REJ,32045,56080,1,1,0,12,5,1,1,1,0,6,5,5,0,0,0,0,484,357,0.18,0.31,0.75,0.67,0.53,0.27,0.03,102,186,0.86,0.11,0.76,0.35,0.69,0.61,0.72,0.06,teardrop
9997,udp,ftp,SF,34506,32560,0,0,1,14,3,1,8,0,0,1,2,0,5,0,0,0,344,254,0.77,0.69,0.63,0.47,0.2,0.25,0.79,179,175,0.94,0.52,0.49,0.94,0.05,0.49,0.99,0.73,ipsweep
1725,tcp,eco_i,SH,76293,36771,0,2,1,7,1,0,6,1,0,4,2,1,2,0,1,0,136,510,0.55,0.25,0.17,0.05,0.98,0.71,0.21,55,232,0.89,0.54,0.42,0.67,0.14,0.68,0.14,0.59,nmap
9985,udp,domain_u,SF,55027,36061,1,2,0,12,5,0,8,1,0,5,1,3,1,0,0,0,430,353,0.84,0.27,0.35,0.49,0.23,0.99,0.5,173,56,0.49,0.05,0.56,0.03,0.1,0.39,0.32,0.13,neptune
3836,tcp,eco_i,RSTR,61189,65679,1,1,1,0,0,1,4,1,0,2,3,5,2,0,1,1,296,227,0.34,0.93,0.52,0.08,0.71,0.96,0.65,37,98,0.53,0.06,0.8,0.14,0.42,0.0,0.55,0.33,nmap
9356,tcp,http,S0,28629,79028,1,0,1,5,2,0,6,0,1,10,0,2,2,0,0,1,473,29,0.58,0.64,0.49,0.26,0.12,0.66,0.8,164,241,0.66,0.97,0.6,0.73,0.68,0.66,0.74,0.81,back
2531,udp,http,SF,23504,18235,1,1,2,0,0,1,0,1,1,2,1,2,3,0,0,1,68,502,0.01,0.52,0.97,0.37,0.7,0.84,0.76,199,242,0.42,0.39,0.83,0.82,0.69,0.45,0.84,0.49,warezclient
279,icmp,http,S0,12755,90408,1,2,0,19,2,1,6,0,1,0,5,1,4,0,1,1,444,500,0.94,0.01,0.34,0.98,0.58,0.7,0.98,46,69,0.7,0.42,0.01,0.63,0.37,0.8,0.84,0.24,neptune
1452,udp,private,SH,50469,67481,0,1,0,17,1,1,1,0,0,3,0,5,3,0,0,1,12,12,0.59,0.01,0.64,0.15,0.61,0.82,0.13,57,186,0.99,0.53,0.72,0.46,0.59,0.1,0.79,0.22,teardrop
4145,udp,ftp,RSTR,48522,9477,1,0,2,6,3,1,3,1,1,1,4,1,4,0,1,1,399,71,0.2,0.85,0.54,0.83,0.59,0.96,0.34,46,144,0.23,0.43,0.73,0.13,0.46,0.76,0.99,0.99,warezclient
2091,icmp,ftp,RSTR,54864,85967,1,2,2,1,2,0,6,0,0,5,4,3,3,0,0,1,186,253,1.0,0.86,0.69,0.56,0.94,0.11,0.73,46,149,0.12,0.16,0.42,0.9,0.18,0.61,0.22,0.96,smurf
7311,icmp,eco_i,S0,16888,61482,1,0,2,20,2,0,4,0,0,8,4,2,5,0,1,0,167,283,0.84,0.43,0.98,0.04,0.02,0.18,0.55,86,64,0.54,0.28,0.44,0.68,0.45,0.75,0.39,0.16,ipsweep
5140,tcp,private,RSTR,20124,45368,0,1,1,12,0,1,2,1,1,6,3,0,5,0,0,1,77,218,0.14,0.19,0.09,0.93,0.67,1.0,0.88,118,111,0.62,0.65,0.01,0.83,0.53,0.42,0.73,0.34,teardrop
852,udp,smtp,RSTR,49442,55919,1,0,0,6,4,1,1,1,1,10,0,1,1,0,0,0,360,46,0.29,0.14,0.84,0.37,0.23,0.58,0.27,11,102,0.33,0.71,0.66,0.34,0.54,0.79,0.79,0.27,normal
8623,tcp,http,RSTR,29193,1161,1,3,1,8,3,0,7,1,1,2,1,5,1,0,1,1,148,31,0.17,0.24,0.05,0.12,0.37,0.36,0.91,147,32,0.85,0.99,0.77,0.8,0.83,0.26,0.79,0.83,normal
8145,udp,eco_i,RSTR,26232,45247,0,1,0,3,0,0,9,1,0,4,5,1,4,0,0,1,397,417,0.94,0.82,0.29,0.23,0.63,0.63,0.72,119,83,0.25,0.3,0.85,0.53,0.1,0.84,0.1,0.91,back
67,udp,private,SF,96410,37613,0,0,2,3,1,1,10,1,1,3,2,1,1,0,1,1,155,126,0.79,0.82,0.31,0.19,0.61,0.86,0.39,103,128,0.88,0.62,0.74,0.68,0.73,0.63,0.56,0.8,ipsweep
7518,tcp,domain_u,SF,31686,83456,0,1,2,7,5,1,10,1,0,4,5,2,4,0,0,0,230,64,0.45,0.92,0.37,0.96,0.93,0.05,0.76,211,230,0.46,0.68,0.55,0.86,0.73,0.31,0.31,0.95,neptune
2884,icmp,http,RSTR,71515,65284,1,1,2,16,0,0,2,0,0,9,5,0,5,0,1,1,25,258,0.86,0.9,0.22,0.08,0.63,0.57,0.4,144,207,0.96,0.45,0.05,1.0,0.58,0.08,0.72,0.57,warezclient
8520,icmp,private,RSTR,10774,34224,1,0,0,5,4,1,1,1,1,4,2,4,3,0,0,0,426,1,0.2,0.63,0.61,0.36,0.43,0.5,0.76,103,162,0.74,0.85,0.22,0.02,0.71,0.65,0.02,0.8,teardrop
